class	method	parameters	returns
{LV.TopLevelDiagram}	GetProperty	Index	GetProperty
{LV.TopLevelDiagram}	GetPropertyCallData		GetPropertyCallData
{LV.TopLevelDiagram}	GetTag	TagName	GetTag; Value; isPersistent
{LV.TopLevelDiagram}	Make Selection	Objects	
{LV.TopLevelDiagram}	MakeSpace	Rect	
{LV.TopLevelDiagram}	Move	position; owner; duplicate	
{LV.TopLevelDiagram}	ObjHighlight		
{LV.TopLevelDiagram}	Paste	Pos	
{LV.TopLevelDiagram}	RemoveTag	TagName	RemoveTag; OldValue
{LV.TopLevelDiagram}	Replace	Style; Path; PaletteString	Replace
{LV.TopLevelDiagram}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.TopLevelDiagram}	Select All		
{LV.TopLevelDiagram}	SetProperty	Index; Value	
{LV.TopLevelDiagram}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.TopLevelDiagram}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.TopLevelDiagram}	ShrinkWrapStructs		
{LV.TopLevelDiagram}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.TreeControl}	AttachDataSocket	url; mode; enabled	
{LV.TreeControl}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.TreeControl}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.TreeControl}	Create Control Ref		Create Control Ref
{LV.TreeControl}	Create Invoke Node		Create Invoke Node
{LV.TreeControl}	Create Local		Create Local
{LV.TreeControl}	Create Property Node		Create Property Node
{LV.TreeControl}	Custom Item Symbols:Get Symbol	index	Custom Glyphs:Get Glyph
{LV.TreeControl}	Custom Item Symbols:Get Symbol Array		Custom Glyphs:Get Glyph Array
{LV.TreeControl}	Custom Item Symbols:Revert Symbol	index	
{LV.TreeControl}	Custom Item Symbols:Revert Symbols		
{LV.TreeControl}	Custom Item Symbols:Set Symbol	index; image	
{LV.TreeControl}	Custom Item Symbols:Set Symbol Array	glyphs	
{LV.TreeControl}	Delete		
{LV.TreeControl}	Discon Typedef		Discon Typedef
{LV.TreeControl}	Double Click		Double Click
{LV.TreeControl}	Edit Tree Items:Add Item	Parent Tag; Child Position; Left Cell; Child Text; Child Tag; Child Only?	Edit Tree Items:Add Item
{LV.TreeControl}	Edit Tree Items:Add Item to End	Left Cell; Child Text; Child Tag; Item Indent; Child Only?	Edit Tree Items:Add Item to End
{LV.TreeControl}	Edit Tree Items:Delete	tag; Delete Children	
{LV.TreeControl}	Edit Tree Items:Move Item	tag; New Parent; New Position; Carry Children	
{LV.TreeControl}	Edit Tree Items:Set Tag	tag; new tag	Edit Tree Items:Set Tag
{LV.TreeControl}	Edit Tree Items:Sort Children	tag; Sort Column; Case Sensitivity; Sort Recursively; Reverse Order	
{LV.TreeControl}	Get Image	image depth; bg color	image data
{LV.TreeControl}	Get Term Image	image depth; background color	image data
{LV.TreeControl}	GetProperty	Index	GetProperty
{LV.TreeControl}	GetPropertyCallData		GetPropertyCallData
{LV.TreeControl}	GetTag	TagName	GetTag; Value; isPersistent
{LV.TreeControl}	Move	position; owner; duplicate	
{LV.TreeControl}	Navigate Tree:Get Child	Tag	Navigate Tree:Get Child
{LV.TreeControl}	Navigate Tree:Get Next	Tag	Navigate Tree:Get Next Item
{LV.TreeControl}	Navigate Tree:Get Parent	tag	Navigate Tree:Get Parent
{LV.TreeControl}	Navigate Tree:Get Path	tag	Navigate Tree:Get Path
{LV.TreeControl}	ObjHighlight		
{LV.TreeControl}	Open/Close:Ensure Visible	tag	
{LV.TreeControl}	Open/Close:Open/Close All	Open	
{LV.TreeControl}	Open/Close:Open/Close Item	tag; Open	
{LV.TreeControl}	Reinit To Dflt		
{LV.TreeControl}	RemoveDataSocket		
{LV.TreeControl}	RemoveTag	TagName	RemoveTag; OldValue
{LV.TreeControl}	Replace	Style; Path; PaletteString	Replace
{LV.TreeControl}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.TreeControl}	SetProperty	Index; Value	
{LV.TreeControl}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.TreeControl}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.TreeControl}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.TreeControl}	Update Typedef		Update Typedef
{LV.Tunnel}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Tunnel}	Delete		
{LV.Tunnel}	GetProperty	Index	GetProperty
{LV.Tunnel}	GetPropertyCallData		GetPropertyCallData
{LV.Tunnel}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Tunnel}	Move	position; owner; duplicate	
{LV.Tunnel}	ObjHighlight		
{LV.Tunnel}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Tunnel}	Replace	Style; Path; PaletteString	Replace
{LV.Tunnel}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Tunnel}	SetProperty	Index; Value	
{LV.Tunnel}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Tunnel}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Tunnel}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.TypeCast}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.TypeCast}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.TypeCast}	Delete		
{LV.TypeCast}	GetProperty	Index	GetProperty
{LV.TypeCast}	GetPropertyCallData		GetPropertyCallData
{LV.TypeCast}	GetTag	TagName	GetTag; Value; isPersistent
{LV.TypeCast}	Move	position; owner; duplicate	
{LV.TypeCast}	ObjHighlight		
{LV.TypeCast}	RemoveTag	TagName	RemoveTag; OldValue
{LV.TypeCast}	Replace	Style; Path; PaletteString	Replace
{LV.TypeCast}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.TypeCast}	SetProperty	Index; Value	
{LV.TypeCast}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.TypeCast}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.TypeCast}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.TypedRefNum}	AttachDataSocket	url; mode; enabled	
{LV.TypedRefNum}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.TypedRefNum}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.TypedRefNum}	Create Control Ref		Create Control Ref
{LV.TypedRefNum}	Create Invoke Node		Create Invoke Node
{LV.TypedRefNum}	Create Local		Create Local
{LV.TypedRefNum}	Create Property Node		Create Property Node
{LV.TypedRefNum}	Delete		
{LV.TypedRefNum}	Discon Typedef		Discon Typedef
{LV.TypedRefNum}	Get Image	image depth; bg color	image data
{LV.TypedRefNum}	Get Term Image	image depth; background color	image data
{LV.TypedRefNum}	GetProperty	Index	GetProperty
{LV.TypedRefNum}	GetPropertyCallData		GetPropertyCallData
{LV.TypedRefNum}	GetTag	TagName	GetTag; Value; isPersistent
{LV.TypedRefNum}	Move	position; owner; duplicate	
{LV.TypedRefNum}	ObjHighlight		
{LV.TypedRefNum}	Reinit To Dflt		
{LV.TypedRefNum}	RemoveDataSocket		
{LV.TypedRefNum}	RemoveTag	TagName	RemoveTag; OldValue
{LV.TypedRefNum}	Replace	Style; Path; PaletteString	Replace
{LV.TypedRefNum}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.TypedRefNum}	SetProperty	Index; Value	
{LV.TypedRefNum}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.TypedRefNum}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.TypedRefNum}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.TypedRefNum}	Update Typedef		Update Typedef
{LV.Unbundler}	AddOutputAfter	Index	AddOutputAfter
{LV.Unbundler}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Unbundler}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Unbundler}	Delete		
{LV.Unbundler}	GetProperty	Index	GetProperty
{LV.Unbundler}	GetPropertyCallData		GetPropertyCallData
{LV.Unbundler}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Unbundler}	Move	position; owner; duplicate	
{LV.Unbundler}	ObjHighlight		
{LV.Unbundler}	RemoveOutput	Index	
{LV.Unbundler}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Unbundler}	Replace	Style; Path; PaletteString	Replace
{LV.Unbundler}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Unbundler}	Resize	bounds	
{LV.Unbundler}	SetProperty	Index; Value	
{LV.Unbundler}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Unbundler}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Unbundler}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.UnitCast}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.UnitCast}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.UnitCast}	Delete		
{LV.UnitCast}	GetProperty	Index	GetProperty
{LV.UnitCast}	GetPropertyCallData		GetPropertyCallData
{LV.UnitCast}	GetTag	TagName	GetTag; Value; isPersistent
{LV.UnitCast}	Move	position; owner; duplicate	
{LV.UnitCast}	ObjHighlight		
{LV.UnitCast}	RemoveTag	TagName	RemoveTag; OldValue
{LV.UnitCast}	Replace	Style; Path; PaletteString	Replace
{LV.UnitCast}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.UnitCast}	SetProperty	Index; Value	
{LV.UnitCast}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.UnitCast}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.UnitCast}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.VISAResourceNameConstant}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.VISAResourceNameConstant}	Delete		
{LV.VISAResourceNameConstant}	Discon Typedef		Discon Typedef
{LV.VISAResourceNameConstant}	GetProperty	Index	GetProperty
{LV.VISAResourceNameConstant}	GetPropertyCallData		GetPropertyCallData
{LV.VISAResourceNameConstant}	GetTag	TagName	GetTag; Value; isPersistent
{LV.VISAResourceNameConstant}	Move	position; owner; duplicate	
{LV.VISAResourceNameConstant}	ObjHighlight		
{LV.VISAResourceNameConstant}	RemoveTag	TagName	RemoveTag; OldValue
{LV.VISAResourceNameConstant}	Replace	Style; Path; PaletteString	Replace
{LV.VISAResourceNameConstant}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.VISAResourceNameConstant}	SetClassName	ClassName	
{LV.VISAResourceNameConstant}	SetProperty	Index; Value	
{LV.VISAResourceNameConstant}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.VISAResourceNameConstant}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.VISAResourceNameConstant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.VISAResourceNameConstant}	Update Typedef		Update Typedef
{LV.VISAResourceName}	AttachDataSocket	url; mode; enabled	
{LV.VISAResourceName}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.VISAResourceName}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.VISAResourceName}	Create Control Ref		Create Control Ref
{LV.VISAResourceName}	Create Invoke Node		Create Invoke Node
{LV.VISAResourceName}	Create Local		Create Local
{LV.VISAResourceName}	Create Property Node		Create Property Node
{LV.VISAResourceName}	Delete		
{LV.VISAResourceName}	Discon Typedef		Discon Typedef
{LV.VISAResourceName}	Get Image	image depth; bg color	image data
{LV.VISAResourceName}	Get Term Image	image depth; background color	image data
{LV.VISAResourceName}	GetProperty	Index	GetProperty
{LV.VISAResourceName}	GetPropertyCallData		GetPropertyCallData
{LV.VISAResourceName}	GetTag	TagName	GetTag; Value; isPersistent
{LV.VISAResourceName}	Move	position; owner; duplicate	
{LV.VISAResourceName}	ObjHighlight		
{LV.VISAResourceName}	Reinit To Dflt		
{LV.VISAResourceName}	RemoveDataSocket		
{LV.VISAResourceName}	RemoveTag	TagName	RemoveTag; OldValue
{LV.VISAResourceName}	Replace	Style; Path; PaletteString	Replace
{LV.VISAResourceName}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.VISAResourceName}	SetClassName	ClassName	
{LV.VISAResourceName}	SetProperty	Index; Value	
{LV.VISAResourceName}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.VISAResourceName}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.VISAResourceName}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.VISAResourceName}	Update Typedef		Update Typedef
{LV.VI}	Abort VI		
{LV.VI}	BD.Get Image Scaled	img depth; max width; max height	img data
{LV.VI}	BD.Remove Bad Wires		
{LV.VI}	Cause Type Propagation		
{LV.VI}	Clear History	Reset Revision	
{LV.VI}	Create Constant or Control	srcObj; typedesc; style; pos; Make Names Unique	newobjref
{LV.VI}	Ctrl Val.Get All	Controls	Get All Control Values Variant
{LV.VI}	Ctrl Val.Get All (Deprecated)	controls	Get All Control Values
{LV.VI}	Default Vals.Make Curr Default		
{LV.VI}	Default Vals.Reinit All		
{LV.VI}	Disconnect Polys And Typedefs	Typedefs?; PolyVIs?; Others?	
{LV.VI}	Empty		
{LV.VI}	Export Interface (Deprecated)		image; colors; bounds; termNameRects; captions; status; ioStatus; dataTypes; conNum; TypeDefs; NamedNumericStrings
{LV.VI}	Export VI Strings	String File; Interactive; Log File; Create Captions; Export Diagram	
{LV.VI}	Export VI Strings Private	String File; Interactive; Log File; Create Captions; Export Diagram; Free Lbls Only; Save after Creating Captions	
{LV.VI}	FP.Close		
{LV.VI}	FP.Get Image	visible area only; image depth	image data
{LV.VI}	FP.Get Image Scaled	visible area only; image depth; max width; max height	image data
{LV.VI}	FP.Open	Activate; State	
{LV.VI}	FP.Open In Window	Host Window; Bounds; Parent Wind	
{LV.VI}	FP.Set Close If Lonely		
{LV.VI}	Fake Exec State	state	
{LV.VI}	FindCtrlWithKeyFocus		FindCtrlWithKeyFocus; CtrlFound?
{LV.VI}	Generate VHDL	UseDFIR	
{LV.VI}	GenerateCCode	TargetName; GenerateUI; GenerateDebugInfo; GenerateGuardCode; GenerateSerialOnly; UseStackVariables; MemoryModel; DestinationFolder; FrontPanelScaleFactor; HiRes; Silent	
{LV.VI}	Get Conpane Image		Get Conpane Image
{LV.VI}	Get Control Value	Control Name	Get Control Value; Type Descriptor
{LV.VI}	Get Control Value [Variant]	Control Name	Get Control Value Variant
{LV.VI}	Get FP Scaling		ScalingMode; ScalableObj
{LV.VI}	GetTag	TagName	GetTag; IsPersistent; Value
{LV.VI}	GetVIHierarchySignature	StopAtLocal; IncludeVILib	Signature
{LV.VI}	GetVIHierarchyUserGUID	StopAtLocal; GUID	GUID
{LV.VI}	Import VI Strings	String File; Interactive; Log File	
{LV.VI}	Lock State.Get		Get Lock State; pwd in cache
{LV.VI}	Open BD In Win	HostWin	
{LV.VI}	Print Panel to PostScript	PostScript File; Append?; Entire Panel?	
{LV.VI}	Print VI To HTML	HTML File Path; Append?; Format; Image Format; Image Depth; Image Directory	
{LV.VI}	Print VI To RTF	RTF File Path; Append?; Format; Image Format; Image Depth; Image Directory; Help Format?	
{LV.VI}	Print VI To Text	Text File Path; Append?; Format	
{LV.VI}	Print.Panel To Printer	Entire Panel?	
{LV.VI}	Print.VI To Printer	Format; Scale Panel?; Scale Diagram?; Page Headers?; Page Breaks?; Section Headers?	
{LV.VI}	Private Save Instrument	Path to saved file; Save a Copy; Save Level	
{LV.VI}	RP.Client Connections		Connections; Controller
{LV.VI}	RP.Lock Control		
{LV.VI}	RP.Unlock Control		
{LV.VI}	Remote Panel Close Connection To Client	ClientAddr; ClientPort	
{LV.VI}	RemoveTag	TagName	RemoveTag; OldValue
{LV.VI}	RemoveTags	TagName	RemoveTags
{LV.VI}	Replicate Conpane	CPTM	
{LV.VI}	Revert VI		
{LV.VI}	Run VI	Wait until done; Auto Dispose Ref	
{LV.VI}	Save Run-Time Menu	Path	
{LV.VI}	Save VI Icon to File	Image File; Image Format; Image Depth	
{LV.VI}	Save.For Previous	Path to saved file; Oldest compatible target version	Save for previous warnings
{LV.VI}	Save.Instrument	Path to saved file; Save a Copy; Without Diagram	
{LV.VI}	Save.Target Instrument	VIPath; SaveACopy; Save Level	
{LV.VI}	Save.To Buffer	SaveOptions; TargetOS; TargetCPU; App Builder	Buffer
{LV.VI}	Set Control Value	Control Name; Type Descriptor; Flattened Data	
{LV.VI}	Set Control Value [Variant]	Control Name; Value	
{LV.VI}	Set FP Scaling	ScalingMode; ScalableObj	
{LV.VI}	Set Lock State	lockState; interactive; password; put in Cache	
{LV.VI}	Set Tags Persistance	TagName; isPersistent	SetTagsPersistence
{LV.VI}	Set VI Icon from File	Image File	
{LV.VI}	Set VI Icon from Image Data	ImageData; 16Color; Monochrome	
{LV.VI}	SetBDMod	Mod	
{LV.VI}	SetFPMod	Mod	
{LV.VI}	SetTag	TagName; Value; IsPersistent	SetTag; Old Value
{LV.VI}	SetTags	TagName; Value	SetTags
{LV.VI}	Tag.Remove All Tags		Remove All Tags
{LV.VI}	Transaction.Begin Undo	Name	
{LV.VI}	Transaction.End Undo		
{LV.VI}	Transaction.Fail		
{LV.VI}	Transaction.Redo		
{LV.VI}	Transaction.Undo		
{LV.VI}	User Edits.Allow		Allow User Edits
{LV.VI}	User Edits.Block		Block User Edits
{LV.VI}	VI Icon.Get as Image Data		ImageData; 16Color; Monochrome
{LV.WaveformChart}	AttachDataSocket	url; mode; enabled	
{LV.WaveformChart}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.WaveformChart}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.WaveformChart}	Create Control Ref		Create Control Ref
{LV.WaveformChart}	Create Invoke Node		Create Invoke Node
{LV.WaveformChart}	Create Local		Create Local
{LV.WaveformChart}	Create Property Node		Create Property Node
{LV.WaveformChart}	Delete		
{LV.WaveformChart}	Discon Typedef		Discon Typedef
{LV.WaveformChart}	Get Image	image depth; bg color	image data
{LV.WaveformChart}	Get Term Image	image depth; background color	image data
{LV.WaveformChart}	GetProperty	Index	GetProperty
{LV.WaveformChart}	GetPropertyCallData		GetPropertyCallData
{LV.WaveformChart}	GetTag	TagName	GetTag; Value; isPersistent
{LV.WaveformChart}	Map Coords To XY	Coords; X Scale; Y Scale	Map Coords To XY; XY
{LV.WaveformChart}	Move	position; owner; duplicate	
{LV.WaveformChart}	ObjHighlight		
{LV.WaveformChart}	Reinit To Dflt		
{LV.WaveformChart}	RemoveDataSocket		
{LV.WaveformChart}	RemoveTag	TagName	RemoveTag; OldValue
{LV.WaveformChart}	Replace	Style; Path; PaletteString	Replace
{LV.WaveformChart}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.WaveformChart}	SetProperty	Index; Value	
{LV.WaveformChart}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.WaveformChart}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.WaveformChart}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.WaveformChart}	Update Typedef		Update Typedef
{LV.WaveformData}	AttachDataSocket	url; mode; enabled	
{LV.WaveformData}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.WaveformData}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.WaveformData}	Create Control Ref		Create Control Ref
{LV.WaveformData}	Create Invoke Node		Create Invoke Node
{LV.WaveformData}	Create Local		Create Local
{LV.WaveformData}	Create Property Node		Create Property Node
{LV.WaveformData}	Delete		
{LV.WaveformData}	Discon Typedef		Discon Typedef
{LV.WaveformData}	Get Image	image depth; bg color	image data
{LV.WaveformData}	Get Term Image	image depth; background color	image data
{LV.WaveformData}	GetProperty	Index	GetProperty
{LV.WaveformData}	GetPropertyCallData		GetPropertyCallData
{LV.WaveformData}	GetTag	TagName	GetTag; Value; isPersistent
{LV.WaveformData}	Move	position; owner; duplicate	
{LV.WaveformData}	ObjHighlight		
{LV.WaveformData}	Reinit To Dflt		
{LV.WaveformData}	RemoveDataSocket		
{LV.WaveformData}	RemoveTag	TagName	RemoveTag; OldValue
{LV.WaveformData}	Replace	Style; Path; PaletteString	Replace
{LV.WaveformData}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.WaveformData}	SetProperty	Index; Value	
{LV.WaveformData}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.WaveformData}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.WaveformData}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.WaveformData}	Update Typedef		Update Typedef
{LV.WaveformGraph}	AttachDataSocket	url; mode; enabled	
{LV.WaveformGraph}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.WaveformGraph}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.WaveformGraph}	Create Control Ref		Create Control Ref
{LV.WaveformGraph}	Create Invoke Node		Create Invoke Node
{LV.WaveformGraph}	Create Local		Create Local
{LV.WaveformGraph}	Create Property Node		Create Property Node
{LV.WaveformGraph}	Delete		
{LV.WaveformGraph}	Discon Typedef		Discon Typedef
{LV.WaveformGraph}	Get Image	image depth; bg color	image data
{LV.WaveformGraph}	Get Term Image	image depth; background color	image data
{LV.WaveformGraph}	GetPlotAtPos	InputPt	PlotNum
{LV.WaveformGraph}	GetProperty	Index	GetProperty
{LV.WaveformGraph}	GetPropertyCallData		GetPropertyCallData
{LV.WaveformGraph}	GetTag	TagName	GetTag; Value; isPersistent
{LV.WaveformGraph}	Map Coords To XY	Coords; X Scale; Y Scale	Map Coords To XY; XY
{LV.WaveformGraph}	Move	position; owner; duplicate	
{LV.WaveformGraph}	ObjHighlight		
{LV.WaveformGraph}	Reinit To Dflt		
{LV.WaveformGraph}	RemoveDataSocket		
{LV.WaveformGraph}	RemoveTag	TagName	RemoveTag; OldValue
{LV.WaveformGraph}	Replace	Style; Path; PaletteString	Replace
{LV.WaveformGraph}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.WaveformGraph}	SetProperty	Index; Value	
{LV.WaveformGraph}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.WaveformGraph}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.WaveformGraph}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.WaveformGraph}	Update Typedef		Update Typedef
{LV.WhileLoop}	Add Shift Register	Y Position	Add Shift Register
{LV.WhileLoop}	Auto Size		
{LV.WhileLoop}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.WhileLoop}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.WhileLoop}	Delete		
{LV.WhileLoop}	GetProperty	Index	GetProperty
{LV.WhileLoop}	GetPropertyCallData		GetPropertyCallData
{LV.WhileLoop}	GetTag	TagName	GetTag; Value; isPersistent
{LV.WhileLoop}	Move	position; owner; duplicate	
{LV.WhileLoop}	ObjHighlight		
{LV.WhileLoop}	Remove Structure		
{LV.WhileLoop}	RemoveTag	TagName	RemoveTag; OldValue
{LV.WhileLoop}	Replace	Style; Path; PaletteString	Replace
{LV.WhileLoop}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.WhileLoop}	ReplaceWithTimeLoop		
{LV.WhileLoop}	SetProperty	Index; Value	
{LV.WhileLoop}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.WhileLoop}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.WhileLoop}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Wire}	AttachProbe	ProbeVI; OpenFP?; VIClone	Attach Probe
{LV.Wire}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Wire}	CleanUpWire		
{LV.Wire}	CopyProbesToCompanion		
{LV.Wire}	Create Constant	Value	Create Constant
{LV.Wire}	Create Control	Value	Create Control
{LV.Wire}	Create Indicator	Value	Create Indicator
{LV.Wire}	Delete		
{LV.Wire}	GetProperty	Index	GetProperty
{LV.Wire}	GetPropertyCallData		GetPropertyCallData
{LV.Wire}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Wire}	Insert Node	Style; Path; PaletteString; InsertPoint	Insert Node
{LV.Wire}	Move	position; owner; duplicate	
{LV.Wire}	ObjHighlight		
{LV.Wire}	Remove Probe	VIClone	
{LV.Wire}	RemoveLooseEnds		
{LV.Wire}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Wire}	Replace	Style; Path; PaletteString	Replace
{LV.Wire}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Wire}	SetProperty	Index; Value	
{LV.Wire}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Wire}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Wire}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
